job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
AI Research Scientist,9,China,Bachelor,Medium,"Tableau, PyTorch, Kubernetes, Linux, NLP",90376.0
AI Software Engineer,1,Canada,Master,Medium,"Deep Learning, AWS, Mathematics, Python, Docker",61895.0
AI Specialist,2,Switzerland,Associate,Large,"Kubernetes, Deep Learning, Java, Hadoop, NLP",152626.0
NLP Engineer,7,India,PhD,Medium,"Scala, SQL, Linux, Python",80215.0
AI Consultant,0,France,Master,Small,"MLOps, Java, Tableau, Python",63910.079999999994
AI Architect,7,Germany,Associate,Medium,"Data Visualization, R, SQL, Linux",144581.58
Principal Data Scientist,3,United Kingdom,Associate,Small,"R, Docker, MLOps",107554.5
NLP Engineer,0,France,Master,Large,"Python, SQL, Computer Vision, Java, Azure",82648.79999999999
Data Analyst,7,Singapore,PhD,Large,"Hadoop, Git, Mathematics, Python",160710.0
AI Software Engineer,5,Austria,Master,Medium,"MLOps, GCP, Scala, Azure, Linux",102557.0
Autonomous Systems Engineer,8,Sweden,Associate,Medium,"MLOps, Python, SQL",102322.0
AI Architect,15,South Korea,Master,Small,"R, Data Visualization, Python, Azure",115047.0
AI Consultant,5,France,PhD,Medium,"Tableau, Python, TensorFlow",145495.34999999998
Autonomous Systems Engineer,0,Norway,Master,Small,"Scala, SQL, Statistics",68760.0
AI Research Scientist,6,Sweden,Associate,Medium,"PyTorch, Python, Data Visualization, GCP",150122.0
AI Product Manager,0,United Kingdom,PhD,Large,"Linux, Statistics, Deep Learning",106442.1
Principal Data Scientist,1,India,Bachelor,Large,"Tableau, NLP, Spark",59823.0
Machine Learning Engineer,15,France,Associate,Large,"MLOps, PyTorch, Azure",211932.62999999998
Data Engineer,9,Singapore,Associate,Medium,"Git, Hadoop, R, Python, Spark",155300.0
Research Scientist,4,Netherlands,PhD,Large,"Java, Scala, NLP, Docker, Computer Vision",109805.67
Data Engineer,3,Norway,Bachelor,Medium,"Deep Learning, AWS, Azure",134197.0
Autonomous Systems Engineer,2,United States,Bachelor,Medium,"Tableau, Spark, NLP, TensorFlow, PyTorch",102550.0
ML Ops Engineer,7,Germany,PhD,Small,"Hadoop, Git, Tableau",116276.93999999999
AI Product Manager,4,Austria,Master,Medium,"Git, Hadoop, Docker",52167.0
ML Ops Engineer,2,China,Bachelor,Small,"AWS, Azure, Git, SQL, Computer Vision",53923.0
Robotics Engineer,6,Israel,PhD,Large,"Linux, Git, Tableau, Kubernetes, Data Visualization",109779.0
ML Ops Engineer,2,Australia,Master,Small,"Hadoop, Linux, Git, Scala",80979.0
Data Analyst,2,Austria,PhD,Medium,"Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch",52997.0
Head of AI,0,Ireland,PhD,Medium,"Python, Scala, NLP, Mathematics, Git",42819.0
ML Ops Engineer,2,Israel,Master,Large,"Azure, Python, Computer Vision, Kubernetes, TensorFlow",82083.0
Head of AI,1,Netherlands,Master,Medium,"Deep Learning, GCP, AWS, Linux, Tableau",78960.95999999999
Research Scientist,1,Denmark,Master,Medium,"Azure, Python, Spark",68624.0
Robotics Engineer,7,Switzerland,PhD,Small,"NLP, Scala, Python",146852.0
ML Ops Engineer,16,Finland,Associate,Medium,"Tableau, Azure, GCP, Linux, Python",178183.0
Deep Learning Engineer,8,Sweden,PhD,Large,"R, GCP, MLOps, Linux",150864.0
Head of AI,10,Finland,Associate,Large,"Git, Hadoop, Data Visualization",126942.0
AI Architect,2,Japan,Associate,Medium,"Data Visualization, Tableau, AWS, Mathematics, Python",53752.0
Robotics Engineer,18,Israel,Master,Small,"Linux, PyTorch, SQL, Statistics",111381.0
AI Specialist,1,China,Bachelor,Medium,"Tableau, Docker, GCP",41430.0
Data Engineer,15,Netherlands,Associate,Large,"Computer Vision, Azure, Tableau",194313.59999999998
Data Scientist,2,United States,Bachelor,Medium,"Data Visualization, Azure, Spark, MLOps",96956.0
AI Architect,8,United States,Bachelor,Large,"Java, Mathematics, SQL",196954.0
AI Specialist,1,Finland,Associate,Large,"Spark, Mathematics, GCP",56745.0
Machine Learning Researcher,8,Singapore,Associate,Medium,"Hadoop, Docker, Python, Azure",113455.0
ML Ops Engineer,5,Netherlands,Bachelor,Medium,"Docker, R, Linux",185805.36
AI Research Scientist,7,United States,Associate,Medium,"Data Visualization, Statistics, R",174663.0
AI Research Scientist,1,India,PhD,Small,"Scala, Java, Tableau",46753.0
AI Software Engineer,4,China,Bachelor,Large,"Java, Azure, GCP",69020.0
AI Specialist,12,Switzerland,Bachelor,Small,"Deep Learning, Git, Data Visualization, Linux, Java",288815.0
AI Consultant,19,Austria,PhD,Medium,"Hadoop, AWS, Linux, Docker, Statistics",124871.0
AI Architect,4,Germany,PhD,Small,"Deep Learning, SQL, Mathematics",82357.47
Research Scientist,17,India,Master,Medium,"Linux, R, Azure, Mathematics, Git",115376.0
Research Scientist,3,United States,Associate,Small,"Docker, Tableau, Mathematics",106579.0
Data Scientist,8,Norway,PhD,Small,"R, PyTorch, Kubernetes, Computer Vision",135230.0
Research Scientist,4,Israel,Master,Small,"Python, Tableau, TensorFlow, AWS",67607.0
AI Architect,3,Canada,Associate,Large,"Azure, Kubernetes, TensorFlow, Statistics, Spark",88470.0
Autonomous Systems Engineer,4,India,Associate,Large,"Python, Docker, GCP, Scala",79863.0
Machine Learning Engineer,0,Israel,PhD,Large,"Git, Linux, Python, TensorFlow, Mathematics",60299.0
Machine Learning Engineer,4,Germany,Associate,Medium,"PyTorch, Computer Vision, R",100204.65
AI Software Engineer,8,United Kingdom,Associate,Small,"R, Spark, AWS",148799.7
Data Scientist,1,China,Associate,Medium,"Tableau, NLP, Azure, Statistics, PyTorch",49365.0
Data Scientist,6,Norway,Bachelor,Small,"TensorFlow, Azure, Computer Vision, Data Visualization",162296.0
AI Consultant,3,Switzerland,PhD,Medium,"TensorFlow, Scala, Docker, Statistics",102382.0
AI Software Engineer,4,Australia,PhD,Medium,"Java, R, Deep Learning, NLP, Azure",99972.0
Data Engineer,0,South Korea,Bachelor,Large,"Java, Git, Deep Learning",64129.0
AI Specialist,8,Ireland,PhD,Small,"Mathematics, Spark, Python, AWS",87938.0
Autonomous Systems Engineer,4,Israel,Associate,Large,"SQL, Java, MLOps, Linux, PyTorch",71405.0
Machine Learning Engineer,12,Denmark,Associate,Medium,"Python, Scala, Statistics, Git",316182.0
Machine Learning Researcher,0,Germany,Bachelor,Medium,"Hadoop, Python, Kubernetes, Azure",84777.03
Principal Data Scientist,3,France,Associate,Large,"MLOps, Kubernetes, Git, Python",91655.45999999999
NLP Engineer,4,Israel,Bachelor,Medium,"AWS, Kubernetes, Azure",51907.0
Autonomous Systems Engineer,7,France,Master,Small,"PyTorch, Kubernetes, Git, SQL",143712.27
Machine Learning Researcher,3,Norway,Associate,Small,"NLP, Azure, Statistics, Spark, Mathematics",124820.0
Autonomous Systems Engineer,9,United Kingdom,PhD,Small,"Linux, R, Tableau",181170.0
Data Engineer,0,Sweden,PhD,Small,"Scala, R, Tableau, Data Visualization",51920.0
Data Engineer,0,Singapore,Master,Medium,"Mathematics, Kubernetes, Spark",56427.0
AI Product Manager,16,Canada,Bachelor,Small,"Kubernetes, Spark, Statistics, Scala",213783.0
ML Ops Engineer,2,Israel,Associate,Medium,"MLOps, SQL, Statistics",59728.0
Computer Vision Engineer,6,India,PhD,Large,"Scala, MLOps, NLP",119432.0
AI Research Scientist,12,United States,Master,Medium,"PyTorch, Linux, SQL",284486.0
Data Analyst,17,France,Bachelor,Large,"Git, Kubernetes, TensorFlow, R, Java",184388.49
ML Ops Engineer,19,Australia,Master,Large,"R, Tableau, SQL, MLOps, Docker",196942.0
Machine Learning Researcher,10,Canada,PhD,Medium,"NLP, Azure, Spark, Data Visualization",207548.0
NLP Engineer,3,Sweden,PhD,Small,"Java, SQL, Spark, Tableau, Azure",68838.0
ML Ops Engineer,13,Finland,PhD,Large,"Docker, Python, Git, Kubernetes, Java",125666.0
NLP Engineer,0,Denmark,Associate,Medium,"Git, MLOps, Hadoop, Python, Spark",73174.0
Autonomous Systems Engineer,0,Israel,Bachelor,Small,"SQL, Kubernetes, Docker",33314.0
AI Specialist,0,United States,Associate,Small,"R, NLP, SQL, GCP",69914.0
Principal Data Scientist,11,France,Master,Medium,"Spark, SQL, Python, Mathematics, Linux",177978.06
AI Software Engineer,0,France,PhD,Large,"PyTorch, Hadoop, Scala, Computer Vision",91276.37999999999
Research Scientist,0,Canada,Bachelor,Small,"Hadoop, Spark, Kubernetes, Python",48466.0
Data Analyst,8,France,PhD,Small,"Hadoop, Python, TensorFlow, R, Statistics",114656.48999999999
Principal Data Scientist,9,Singapore,Bachelor,Small,"Computer Vision, PyTorch, GCP, Linux",128341.0
AI Research Scientist,3,United States,PhD,Large,"Java, Hadoop, Mathematics",111528.0
Machine Learning Researcher,19,Canada,Master,Small,"Linux, R, NLP, PyTorch, Git",138945.0
NLP Engineer,8,Israel,Bachelor,Medium,"Statistics, Python, TensorFlow, PyTorch, Git",98688.0
Data Analyst,6,France,Bachelor,Small,"Kubernetes, Scala, Java",127563.93
NLP Engineer,4,Canada,Master,Medium,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",84797.0
Machine Learning Researcher,12,Switzerland,Master,Large,"Python, AWS, Kubernetes, Deep Learning",290199.0
AI Research Scientist,8,United States,PhD,Large,"AWS, Kubernetes, Docker, Mathematics, MLOps",195691.0
AI Product Manager,9,Norway,Associate,Large,"Scala, Git, Java",193448.0
AI Product Manager,16,Israel,Associate,Large,"Azure, AWS, PyTorch, GCP, Hadoop",138466.0
Data Analyst,3,Netherlands,Bachelor,Medium,"Spark, Mathematics, PyTorch, SQL, TensorFlow",107145.09
Computer Vision Engineer,3,Sweden,PhD,Small,"SQL, Python, Deep Learning",92875.0
Data Engineer,13,United Kingdom,Master,Small,"TensorFlow, GCP, PyTorch, Spark",287937.45
NLP Engineer,2,Japan,Bachelor,Small,"Git, SQL, PyTorch, Mathematics",62171.0
AI Research Scientist,16,South Korea,Associate,Large,"Data Visualization, PyTorch, Spark, TensorFlow",152658.0
ML Ops Engineer,2,Norway,Associate,Medium,"TensorFlow, SQL, NLP, Computer Vision, Git",95085.0
Deep Learning Engineer,2,France,PhD,Small,"Java, R, Git, Mathematics, Spark",101497.5
AI Specialist,2,Israel,Master,Medium,"PyTorch, Docker, GCP",64261.0
Machine Learning Researcher,18,United States,Bachelor,Small,"Computer Vision, Hadoop, Git, AWS",205357.0
AI Architect,18,France,Associate,Small,"TensorFlow, Linux, SQL, Hadoop",193840.91999999998
Computer Vision Engineer,9,France,Bachelor,Medium,"SQL, Scala, Python",134149.86
Data Scientist,6,France,Master,Large,"NLP, Computer Vision, Mathematics, Statistics, R",167484.33
Machine Learning Researcher,7,Germany,Bachelor,Small,"Azure, R, Linux, MLOps",136042.91999999998
NLP Engineer,0,United States,Bachelor,Medium,"R, AWS, Computer Vision, Statistics, Docker",61055.0
ML Ops Engineer,0,Austria,Master,Large,"Kubernetes, SQL, Azure, Deep Learning, Linux",50303.0
Data Analyst,7,Ireland,Associate,Small,"PyTorch, SQL, MLOps, AWS, TensorFlow",65570.0
AI Software Engineer,17,Singapore,Bachelor,Medium,"MLOps, R, Git, Mathematics",231078.0
AI Product Manager,9,Australia,Bachelor,Medium,"Linux, Scala, SQL, Git",106633.0
AI Specialist,9,Austria,Master,Large,"Git, Deep Learning, Kubernetes, Linux, GCP",121180.0
Principal Data Scientist,0,China,PhD,Large,"Git, SQL, Scala, Python, Computer Vision",64531.0
Machine Learning Engineer,4,Singapore,PhD,Large,"Python, Tableau, Java",125654.0
Machine Learning Researcher,14,Austria,PhD,Large,"Docker, AWS, Linux, Git, Azure",182275.0
Machine Learning Researcher,4,Denmark,PhD,Large,"PyTorch, Scala, Linux, Tableau, Deep Learning",117708.0
Data Engineer,11,South Korea,Master,Small,"Docker, SQL, Kubernetes, Git, Statistics",143246.0
AI Product Manager,5,Denmark,Master,Large,"Statistics, R, Python, TensorFlow",203198.0
Research Scientist,0,Switzerland,Master,Small,"Kubernetes, Azure, Spark, TensorFlow, Linux",69487.0
AI Product Manager,17,Ireland,Associate,Small,"GCP, R, Azure, Deep Learning, PyTorch",95673.0
AI Software Engineer,1,Austria,Bachelor,Large,"Spark, Python, Deep Learning, Linux, Java",59405.0
AI Specialist,5,Netherlands,PhD,Medium,"AWS, R, Spark",154154.52
AI Software Engineer,0,South Korea,Bachelor,Large,"Python, TensorFlow, PyTorch",42835.0
Autonomous Systems Engineer,1,Canada,Associate,Medium,"Statistics, Python, SQL",61893.0
ML Ops Engineer,13,France,PhD,Medium,"Hadoop, Azure, Python, R",165895.47
AI Product Manager,11,United Kingdom,Master,Medium,"Computer Vision, GCP, Azure, SQL, Python",349159.95
NLP Engineer,2,Finland,Associate,Small,"Hadoop, Java, Data Visualization",49485.0
Robotics Engineer,8,Norway,Bachelor,Small,"Computer Vision, SQL, PyTorch, Java",172916.0
Machine Learning Engineer,11,Denmark,PhD,Large,"Hadoop, Python, Git, TensorFlow",324557.0
AI Consultant,4,France,Bachelor,Medium,"PyTorch, Statistics, MLOps, Kubernetes, Computer Vision",86455.98
Principal Data Scientist,9,Sweden,Associate,Small,"Linux, AWS, Computer Vision, Deep Learning",122598.0
Data Scientist,4,Denmark,PhD,Small,"PyTorch, TensorFlow, Hadoop, Python",94478.0
Autonomous Systems Engineer,1,Austria,PhD,Medium,"GCP, Kubernetes, Computer Vision, Deep Learning, SQL",53088.0
Machine Learning Researcher,3,Denmark,Master,Medium,"SQL, MLOps, Python",116012.0
Deep Learning Engineer,0,China,Bachelor,Small,"Python, Hadoop, Deep Learning",35593.0
AI Product Manager,17,Austria,Master,Small,"GCP, Linux, R, Hadoop",149053.0
Principal Data Scientist,4,Austria,Associate,Large,"TensorFlow, Git, Azure, Python",88230.0
AI Research Scientist,19,Australia,Associate,Medium,"Kubernetes, Deep Learning, PyTorch",224919.0
Machine Learning Researcher,12,Netherlands,Associate,Small,"SQL, Data Visualization, GCP, Deep Learning, MLOps",257913.62999999998
NLP Engineer,0,Finland,Bachelor,Small,"GCP, Python, Computer Vision, Git",48861.0
AI Specialist,7,United States,PhD,Small,"TensorFlow, Kubernetes, Deep Learning",115841.0
NLP Engineer,3,Ireland,Bachelor,Medium,"Computer Vision, PyTorch, Linux, TensorFlow",57266.0
Deep Learning Engineer,2,Australia,Associate,Small,"Git, Tableau, Hadoop, Computer Vision",66384.0
Data Analyst,11,Sweden,Bachelor,Small,"R, SQL, Data Visualization",184637.0
AI Research Scientist,4,Netherlands,Bachelor,Medium,"Linux, Python, Scala, Docker",108160.65
Machine Learning Researcher,1,Canada,Associate,Large,"Python, GCP, TensorFlow",57388.0
Head of AI,2,China,PhD,Medium,"Docker, Deep Learning, R",53374.0
AI Research Scientist,6,Finland,PhD,Small,"Git, Spark, Azure, Statistics",95716.0
NLP Engineer,2,Norway,PhD,Large,"Python, Java, Kubernetes, SQL, NLP",157091.0
ML Ops Engineer,8,Norway,PhD,Large,"Hadoop, Mathematics, Linux",204144.0
AI Software Engineer,12,Netherlands,PhD,Medium,"GCP, Computer Vision, Scala, AWS, Linux",222667.37999999998
Principal Data Scientist,15,Denmark,Associate,Medium,"Data Visualization, SQL, Scala",198403.0
Research Scientist,7,Canada,Bachelor,Large,"SQL, Tableau, Statistics, GCP",153040.0
AI Software Engineer,2,Israel,Associate,Small,"Deep Learning, Python, NLP",51898.0
AI Architect,7,Germany,Associate,Small,"R, AWS, Git, Tableau",134773.47
ML Ops Engineer,5,United States,Bachelor,Large,"Python, Spark, Hadoop",170139.0
ML Ops Engineer,0,Canada,Master,Large,"Linux, TensorFlow, GCP, Docker, Azure",63860.0
NLP Engineer,3,Norway,PhD,Medium,"TensorFlow, Docker, AWS, Spark",125152.0
AI Software Engineer,0,South Korea,Bachelor,Large,"Linux, Azure, Kubernetes",61572.0
Head of AI,3,Germany,Master,Medium,"Statistics, Tableau, Java, Data Visualization, NLP",118233.18
Data Engineer,13,Canada,Master,Small,"Spark, Linux, AWS, Deep Learning",145355.0
Deep Learning Engineer,19,Singapore,Master,Small,"Scala, Data Visualization, TensorFlow, Mathematics, Java",183484.0
AI Product Manager,2,Singapore,PhD,Large,"PyTorch, Scala, Hadoop, Docker, Computer Vision",111997.0
AI Specialist,19,United Kingdom,Bachelor,Medium,"Tableau, GCP, Python",289163.25
AI Software Engineer,9,India,Master,Medium,"Python, TensorFlow, GCP, Java",93211.0
Deep Learning Engineer,1,Germany,Master,Large,"Statistics, TensorFlow, Python",96184.53
AI Software Engineer,9,Germany,Associate,Medium,"Scala, Hadoop, Azure",175112.72999999998
AI Software Engineer,3,China,Associate,Medium,"Linux, Azure, Git, Deep Learning, Spark",56825.0
Research Scientist,2,Denmark,PhD,Large,"Kubernetes, Git, GCP, NLP",131635.0
NLP Engineer,7,Norway,PhD,Large,"Scala, Python, Data Visualization, Kubernetes, Statistics",163843.0
AI Consultant,2,India,Bachelor,Large,"Deep Learning, Azure, Python",73281.0
Principal Data Scientist,3,South Korea,Associate,Medium,"Statistics, AWS, Java, PyTorch",51907.0
NLP Engineer,12,Netherlands,Bachelor,Small,"Python, Spark, TensorFlow",208540.8
Machine Learning Researcher,7,Ireland,Master,Small,"SQL, Docker, Linux, GCP",83226.0
AI Product Manager,1,Austria,Master,Small,"PyTorch, NLP, MLOps, Azure",46995.0
AI Research Scientist,14,Switzerland,Associate,Large,"Docker, Azure, NLP",275296.0
Deep Learning Engineer,11,Denmark,Bachelor,Medium,"Python, TensorFlow, R",300422.0
AI Product Manager,2,Canada,Bachelor,Large,"SQL, PyTorch, NLP, Data Visualization",116704.0
AI Specialist,0,United States,PhD,Large,"Java, Python, Mathematics",98422.0
Machine Learning Researcher,15,Norway,Master,Medium,"Mathematics, Docker, Deep Learning",210249.0
NLP Engineer,3,South Korea,Master,Small,"NLP, R, Scala, Computer Vision, Azure",67708.0
Data Engineer,13,Austria,Master,Small,"Python, TensorFlow, Scala, AWS",95796.0
Head of AI,17,Denmark,Master,Large,"PyTorch, SQL, Kubernetes, Git, Java",229098.0
ML Ops Engineer,11,Ireland,Master,Small,"Java, Python, Deep Learning, Statistics",134300.0
AI Specialist,1,Australia,Associate,Medium,"TensorFlow, Docker, R, NLP, Java",74408.0
AI Architect,13,Netherlands,PhD,Medium,"Java, Scala, Tableau",236306.06999999998
AI Software Engineer,17,France,Master,Small,"GCP, TensorFlow, Data Visualization",211493.87999999998
Principal Data Scientist,0,China,Bachelor,Large,"Linux, PyTorch, TensorFlow, Azure, Python",49644.0
AI Product Manager,7,South Korea,Master,Medium,"MLOps, Python, Linux, NLP",89115.0
AI Software Engineer,1,Austria,Associate,Small,"Linux, Kubernetes, Spark, Java",38540.0
AI Product Manager,7,United States,Master,Large,"TensorFlow, Kubernetes, SQL, Linux, Mathematics",180252.0
Robotics Engineer,1,Netherlands,Master,Small,"MLOps, Java, AWS, NLP, PyTorch",66204.45
AI Specialist,5,Sweden,PhD,Medium,"Statistics, Python, TensorFlow",103942.0
Autonomous Systems Engineer,9,United Kingdom,Bachelor,Large,"PyTorch, SQL, TensorFlow, Git, Azure",237612.15000000002
AI Specialist,2,Ireland,Associate,Medium,"Scala, SQL, Deep Learning, Statistics, GCP",59056.0
AI Consultant,3,Austria,Associate,Medium,"AWS, Scala, Docker",76940.0
Machine Learning Engineer,7,United Kingdom,PhD,Medium,"Spark, Kubernetes, Mathematics",148960.35
Data Scientist,4,United Kingdom,Associate,Large,"Python, SQL, Git",138944.7
Machine Learning Researcher,0,Japan,Master,Small,"Python, GCP, Docker, Git, Java",44130.0
Data Engineer,5,Singapore,Associate,Large,"Mathematics, Hadoop, Tableau",128112.0
Data Analyst,0,France,Bachelor,Medium,"Linux, Python, NLP",57203.64
Research Scientist,4,United Kingdom,Master,Large,"Java, Docker, Hadoop",172095.30000000002
AI Research Scientist,6,Finland,PhD,Medium,"Python, Kubernetes, Statistics, TensorFlow",100524.0
Deep Learning Engineer,0,Japan,Associate,Large,"GCP, Deep Learning, Python, MLOps",45429.0
ML Ops Engineer,4,Austria,Bachelor,Large,"R, SQL, AWS, MLOps, Data Visualization",62262.0
AI Specialist,4,China,Master,Small,"Azure, Python, TensorFlow, Data Visualization",68595.0
AI Software Engineer,18,Norway,PhD,Medium,"GCP, Azure, Deep Learning, Spark, SQL",301038.0
Robotics Engineer,1,China,Associate,Medium,"MLOps, Data Visualization, Git, TensorFlow, Hadoop",46253.0
NLP Engineer,0,Australia,Associate,Medium,"R, Docker, GCP, Java",59644.0
Principal Data Scientist,3,Finland,Master,Medium,"PyTorch, MLOps, Computer Vision, AWS, Deep Learning",53960.0
Computer Vision Engineer,1,Netherlands,Associate,Large,"AWS, Hadoop, Python, Scala, Computer Vision",111025.98
Autonomous Systems Engineer,5,Israel,Associate,Large,"PyTorch, SQL, Kubernetes",91611.0
NLP Engineer,18,Netherlands,Master,Large,"SQL, Linux, Tableau, MLOps, Spark",334479.6
AI Architect,3,United Kingdom,Bachelor,Large,"Mathematics, Hadoop, Scala, NLP, Kubernetes",155605.05000000002
Research Scientist,3,China,Associate,Small,"Scala, R, SQL",51882.0
Data Scientist,2,Germany,Master,Medium,"Java, Python, MLOps, Docker",95999.67
ML Ops Engineer,5,Canada,PhD,Large,"SQL, NLP, Python",122331.0
AI Product Manager,5,United States,Master,Small,"Data Visualization, Linux, GCP, Hadoop",159643.0
Research Scientist,15,United Kingdom,Bachelor,Medium,"Hadoop, Python, Linux, Mathematics",343311.75
Data Analyst,2,South Korea,Master,Medium,"Kubernetes, Linux, Tableau, MLOps, Statistics",52027.0
Robotics Engineer,0,India,Associate,Small,"Docker, PyTorch, Spark, TensorFlow, NLP",43072.0
Research Scientist,4,France,PhD,Large,"Tableau, Linux, PyTorch, Java, AWS",101802.87
AI Research Scientist,1,China,Master,Small,"Azure, Python, Mathematics",36734.0
Head of AI,3,Ireland,Associate,Large,"TensorFlow, Linux, Deep Learning, Hadoop",84897.0
